作者,作品,类型,风格,进度,字数,作品积分,发表时间,作品url
兰桂,头号炮灰[快穿],衍生-言情-架空历史-其他衍生,轻松,完结,3821501,1644787328,2015-08-29 08:48:50,http://www.jjwxc.net/onebook.php?novelid=2554000
Fresh果果,花千骨,原创-言情-古色古香-仙侠,正剧,完结,658660,567613696,2008-05-01 04:54:31,http://www.jjwxc.net/onebook.php?novelid=316358
墨宝非宝,很想很想你,原创-言情-近代现代-爱情,轻松,完结,143248,786758528,2013-01-03 23:13:54,http://www.jjwxc.net/onebook.php?novelid=1696278
priest,大英雄时代,原创-言情-幻想未来-爱情,正剧,完结,380610,3369385728,2013-10-22 21:01:57,http://www.jjwxc.net/onebook.php?novelid=1944945
吃书虫子,修真-师姐的剑,原创-言情-架空历史-爱情,正剧,连载,2443797,1241899520,2014-01-03 12:31:57,http://www.jjwxc.net/onebook.php?novelid=1984419
北倾,何处暖阳不倾城,原创-言情-近代现代-爱情,轻松,完结,423633,1315412224,2014-03-29 12:12:53,http://www.jjwxc.net/onebook.php?novelid=2089609
priest,脱轨,原创-言情-近代现代-爱情,正剧,完结,274102,3269426432,2014-10-06 22:36:20,http://www.jjwxc.net/onebook.php?novelid=2249118
老肝妈,自从我捡到了杀殿这白富美[综],衍生-言情-架空历史-东方衍生,正剧,完结,1510022,2460953600,2017-05-01 23:41:44,http://www.jjwxc.net/onebook.php?novelid=3178139
墨宝非宝,轻易放火,原创-言情-近代现代-爱情,轻松,完结,207963,686746304,2011-02-20 18:23:22,http://www.jjwxc.net/onebook.php?novelid=1115639
石头与水,我这糟心的重生,原创-言情-近代现代-爱情,正剧,完结,1107980,2406233344,2020-12-10 05:58:36,http://www.jjwxc.net/onebook.php?novelid=5342343
顾子木,最佳女配,原创-言情-近代现代-爱情,轻松,完结,773573,1032153152,2013-08-07 15:34:04,http://www.jjwxc.net/onebook.php?novelid=1880563
大团团,大清第一作家,衍生-言情-架空历史-东方衍生,轻松,完结,630936,1081988608,2020-05-07 16:30:53,http://www.jjwxc.net/onebook.php?novelid=4813855
Ventisca,[综英美]App不能拯救世界,衍生-言情-近代现代-西方衍生,正剧,完结,986063,1591371264,2016-06-24 11:43:32,http://www.jjwxc.net/onebook.php?novelid=2820411
石头与水,千山记,原创-言情-架空历史-传奇,正剧,完结,2079171,1625288576,2015-06-26 20:30:20,http://www.jjwxc.net/onebook.php?novelid=2487981
笑佳人,宠后之路,原创-言情-架空历史-爱情,轻松,完结,1056093,1590081152,2015-01-06 13:02:50,http://www.jjwxc.net/onebook.php?novelid=2356301
鱼七彩,大唐晋阳公主,衍生-言情-古色古香-东方衍生,轻松,完结,1249506,750408064,2015-03-27 11:35:18,http://www.jjwxc.net/onebook.php?novelid=2419670
老肝妈,[综]自从我接手了本丸这群祖宗,衍生-言情-架空历史-东方衍生,正剧,完结,688888,1459810560,2017-12-27 21:45:15,http://www.jjwxc.net/onebook.php?novelid=3440574
笑佳人,影帝的公主,原创-言情-近代现代-爱情,轻松,完结,389131,1716484096,2014-08-11 11:31:53,http://www.jjwxc.net/onebook.php?novelid=2197950
绝世小白,慢慢仙途之仙灵界,原创-言情-架空历史-仙侠,轻松,连载,1404894,757833152,2012-03-13 13:38:51,http://www.jjwxc.net/onebook.php?novelid=1467822
欧阳墨心,到开封府混个公务员（出版名：《南衙纪事》）,衍生-言情-古色古香-东方衍生,轻松,完结,1630915,1137004288,2007-03-01 22:43:36,http://www.jjwxc.net/onebook.php?novelid=172602
月下蝶影,八宝妆,原创-言情-架空历史-爱情,轻松,完结,344585,1756857216,2014-07-25 11:56:39,http://www.jjwxc.net/onebook.php?novelid=2179428
草菇老抽,[综童话]穿成女主的妈,衍生-言情-架空历史-西方衍生,轻松,连载,1231410,591700928,2020-09-26 21:39:42,http://www.jjwxc.net/onebook.php?novelid=5195819
墨宝非宝,念念不想忘,原创-言情-近代现代-爱情,轻松,完结,48520,636918208,2011-09-25 21:09:09,http://www.jjwxc.net/onebook.php?novelid=1319256
祈祷君,人人都爱马文才,衍生-言情-古色古香-东方衍生,正剧,完结,2401950,1341993984,2015-12-16 23:51:39,http://www.jjwxc.net/onebook.php?novelid=2630301
我想吃肉,诗酒趁年华,原创-言情-架空历史-传奇,正剧,完结,2092647,1626384512,2014-02-11 16:50:42,http://www.jjwxc.net/onebook.php?novelid=2013355
尤四姐,宫略,原创-言情-架空历史-爱情,正剧,完结,501331,1052757312,2013-04-12 11:20:12,http://www.jjwxc.net/onebook.php?novelid=1774380
顾漫,（新番完）何以笙箫默,原创-言情-近代现代-爱情,正剧,完结,121051,307147776,2005-08-25 01:15:56,http://www.jjwxc.net/onebook.php?novelid=55648
我想吃肉,奸臣之女,原创-言情-架空历史-传奇,正剧,完结,1671652,1525659392,2012-07-03 18:17:57,http://www.jjwxc.net/onebook.php?novelid=1560063
不经语,误入浮华,原创-言情-近代现代-爱情,正剧,完结,412541,589412032,2011-04-07 20:26:51,http://www.jjwxc.net/onebook.php?novelid=1167137
蜀客,穿越之天雷一部,原创-言情-架空历史-爱情,轻松,完结,403467,976904064,2008-11-06 18:28:07,http://www.jjwxc.net/onebook.php?novelid=395278
蜀客,重紫,原创-言情-架空历史-爱情,正剧,完结,448308,1186113920,2010-02-03 13:38:11,http://www.jjwxc.net/onebook.php?novelid=653040
西子绪,遇到你很高兴,原创-言情-近代现代-爱情,轻松,完结,199223,2481420032,2014-06-11 16:57:39,http://www.jjwxc.net/onebook.php?novelid=2141855
忆锦,兔子压倒窝边草,原创-言情-近代现代-爱情,轻松,完结,252081,656939136,2009-09-21 00:13:55,http://www.jjwxc.net/onebook.php?novelid=568365
君子以泽,月上重火,原创-言情-古色古香-爱情,轻松,完结,327547,745611392,2008-07-20 20:06:01,http://www.jjwxc.net/onebook.php?novelid=349371
我想吃肉,非主流清穿,原创-言情-古色古香-爱情,正剧,完结,2101532,1567696640,2011-06-19 17:05:58,http://www.jjwxc.net/onebook.php?novelid=1221003
百里冰烟,慈母之心[综],衍生-言情-架空历史-其他衍生,正剧,完结,3371009,684912448,2013-10-12 10:18:33,http://www.jjwxc.net/onebook.php?novelid=1933236
水天一色,推理短文八篇,原创-言情-近代现代-悬疑,正剧,完结,36201,132924736,2004-08-24 23:48:44,http://www.jjwxc.net/onebook.php?novelid=15488
北倾,一禽定音,原创-言情-近代现代-爱情,正剧,完结,258852,907861248,2013-07-31 13:05:21,http://www.jjwxc.net/onebook.php?novelid=1872908
挖坑不填,[综]无面女王,衍生-言情-幻想未来-东方衍生,轻松,连载,2027792,1257600896,2017-08-16 11:27:11,http://www.jjwxc.net/onebook.php?novelid=3315981
蜀客,落花时节又逢君,原创-言情-架空历史-爱情,正剧,完结,230666,661188032,2009-05-07 10:33:47,http://www.jjwxc.net/onebook.php?novelid=474607
花命罗,猎人同人-无处不在的龙套生活,衍生-言情-架空历史-东方衍生,正剧,连载,3200240,1411126400,2009-02-16 22:13:29,http://www.jjwxc.net/onebook.php?novelid=439197
飘舞Iris,《死神Bleach同人》水月 纱夜,衍生-言情-古色古香-东方衍生,轻松,完结,55520,149119776,2007-06-18 21:36:27,http://www.jjwxc.net/onebook.php?novelid=205496
priest,大战拖延症,原创-言情-近代现代-爱情,轻松,完结,177656,3074126848,2012-03-04 10:26:22,http://www.jjwxc.net/onebook.php?novelid=1461220
顾漫,杉杉来吃,原创-言情-近代现代-爱情,轻松,连载,66809,258906016,2007-09-26 00:16:46,http://www.jjwxc.net/onebook.php?novelid=247098
魍魉姬*蓝雪,撞到狐狸,原创-言情-近代现代-爱情,正剧,完结,61891,275669088,2003-12-06 23:20:31,http://www.jjwxc.net/onebook.php?novelid=5135
时镜,大清厚黑日常,衍生-言情-古色古香-东方衍生,正剧,完结,1388970,957664768,2012-10-20 00:45:37,http://www.jjwxc.net/onebook.php?novelid=1649434
priest,资本剑客,原创-言情-近代现代-爱情,轻松,完结,192930,3001230080,2011-10-09 22:29:02,http://www.jjwxc.net/onebook.php?novelid=1339490
风流书呆,傲慢与偏见之贫穷贵公主,衍生-言情-近代现代-西方衍生,轻松,完结,255382,1424587776,2013-08-15 09:51:08,http://www.jjwxc.net/onebook.php?novelid=1888108
蜀客,小凰不是仙,原创-言情-架空历史-爱情,轻松,完结,184537,575606976,2010-09-27 19:52:00,http://www.jjwxc.net/onebook.php?novelid=902683
兰桂,时空历练记[快穿],衍生-言情-架空历史-其他衍生,轻松,完结,1041282,459421344,2013-12-18 00:35:13,http://www.jjwxc.net/onebook.php?novelid=1975909
关心则乱,格林童话,衍生-言情-架空历史-西方衍生,正剧,完结,731574,622498560,2009-08-10 17:42:13,http://www.jjwxc.net/onebook.php?novelid=537964
三千琉璃,[综]卡卡西，我还能抢救下！,衍生-言情-架空历史-东方衍生,轻松,连载,2512920,674478528,2014-11-28 21:04:13,http://www.jjwxc.net/onebook.php?novelid=2308738
紫色如歌,爱上狄仁杰,衍生-言情-古色古香-东方衍生,轻松,完结,51117,61592904,2005-01-30 18:55:23,http://www.jjwxc.net/onebook.php?novelid=27142
四叶铃兰,江山如画：典藏版,原创-言情-古色古香-爱情,正剧,完结,456059,602943168,2007-11-06 19:34:40,http://www.jjwxc.net/onebook.php?novelid=260419
我想吃肉,皇后难为,衍生-言情-古色古香-东方衍生,正剧,完结,635470,1306631680,2010-01-23 11:39:13,http://www.jjwxc.net/onebook.php?novelid=642861
君子以泽,奈何,原创-言情-古色古香-爱情,轻松,完结,172221,1120137984,2011-07-09 17:33:44,http://www.jjwxc.net/onebook.php?novelid=1239925
那只狐狸,坏事多磨,原创-言情-古色古香-武侠,轻松,完结,600593,793582592,2008-06-22 19:07:12,http://www.jjwxc.net/onebook.php?novelid=335403
雾矢翊,不是妻管严（网王）,衍生-言情-近代现代-东方衍生,轻松,完结,534218,510696800,2011-07-22 12:05:20,http://www.jjwxc.net/onebook.php?novelid=1253355
月下蝶影,老婆，你好！,原创-言情-近代现代-爱情,轻松,完结,167729,1448718720,2011-02-01 17:36:47,http://www.jjwxc.net/onebook.php?novelid=1081853
蜀客,奔月,原创-言情-架空历史-爱情,正剧,完结,631712,612773120,2012-04-05 20:01:59,http://www.jjwxc.net/onebook.php?novelid=1485737
多木木多,蕾拉的噩梦,衍生-言情-近代现代-西方衍生,正剧,完结,365020,502593216,2011-11-01 18:24:18,http://www.jjwxc.net/onebook.php?novelid=1359014
梦溪石,天之骄女,原创-言情-近代现代-传奇,轻松,完结,321138,1056072192,2012-12-18 12:07:56,http://www.jjwxc.net/onebook.php?novelid=1685246
谨严,书虫在清朝的米虫生活,原创-言情-古色古香-爱情,轻松,完结,295329,600188096,2008-12-05 13:11:45,http://www.jjwxc.net/onebook.php?novelid=405415
信用卡,穿越后的悠闲生活,原创-言情-架空历史-爱情,正剧,完结,404168,486392096,2010-04-21 19:36:03,http://www.jjwxc.net/onebook.php?novelid=710481
谨严,随遇而安的樱花（网王同人）,衍生-言情-近代现代-东方衍生,轻松,完结,236629,326597408,2008-07-23 15:40:15,http://www.jjwxc.net/onebook.php?novelid=351426
